clinchIndicator,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Wins,losses,otLosses,placeName,pointPctg,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamCommonName,teamAbbrev,wildcardSequence,winPctg,wins,team_name,end_season_points
,67,61,0.910448,160,221,3.298507,32,20,84,104,9,2,44,20,16,21,10,11,22,33,2,0,16,7,6,8,18,4,Florida,0.701493,0.641791,43,0.552239,37,35,41,76,117,9,2,50,23,21,24,20232024,1,2,L,1,Panthers,FLA,0,0.671642,45,Florida Panthers,94
,68,40,0.588235,185,225,3.308824,35,29,90,119,8,6,48,19,18,21,10,1,27,28,2,3,13,5,4,5,14,15,Boston,0.683824,0.529412,36,0.441176,30,33,11,95,106,6,9,45,17,12,18,20232024,3,3,W,1,Bruins,BOS,0,0.573529,39,Boston Bruins,93
,67,55,0.820896,182,237,3.537313,31,39,76,115,6,4,46,21,18,21,10,-1,26,25,3,2,12,5,3,5,17,8,Vancouver,0.686567,0.626866,42,0.537313,36,36,16,106,122,11,4,46,21,18,21,20232024,2,0,OT,1,Canucks,VAN,0,0.626866,42,Vancouver Canucks,92
,66,38,0.575758,179,217,3.287879,31,26,80,106,8,0,46,22,20,23,10,7,22,29,3,1,13,6,6,6,19,4,NY,0.681818,0.636364,42,0.530303,35,35,12,99,111,11,4,44,20,15,20,20232024,3,1,L,1,Rangers,NYR,0,0.651515,43,NY Rangers,90
,66,47,0.712121,157,204,3.090909,34,37,77,114,9,2,48,23,22,23,10,8,24,32,4,0,12,6,6,6,19,5,Winnipeg,0.674242,0.636364,42,0.560606,37,32,10,80,90,10,3,41,19,15,19,20232024,1,0,W,1,Jets,WPG,0,0.636364,42,Winnipeg Jets,89
,67,49,0.731343,202,251,3.746269,32,57,81,138,6,0,52,25,23,26,10,19,20,39,2,1,15,7,5,7,20,5,Colorado,0.664179,0.597015,40,0.537313,36,35,-8,121,113,14,5,37,15,13,16,20232024,1,2,W,5,Avalanche,COL,0,0.626866,42,Colorado Avalanche,89
,68,38,0.558824,209,247,3.632353,33,17,112,129,10,4,42,17,10,19,10,3,31,34,3,1,13,5,4,6,19,9,Dallas,0.654412,0.544118,37,0.426471,29,35,21,97,118,9,5,47,20,19,21,20232024,2,3,L,2,Stars,DAL,0,0.588235,40,Dallas Stars,89
,66,42,0.636364,178,220,3.333333,35,27,92,119,9,4,48,22,18,22,10,12,20,32,3,1,13,6,6,6,20,6,Carolina,0.651515,0.590909,39,0.515152,34,31,15,86,101,11,2,38,17,16,18,20232024,4,1,W,1,Hurricanes,CAR,0,0.606061,40,Carolina Hurricanes,86
,65,34,0.523077,203,237,3.646154,32,14,105,119,12,2,38,13,9,18,10,4,30,34,3,0,14,6,5,7,19,8,Toronto,0.646154,0.507692,33,0.4,26,33,20,98,118,7,6,46,20,17,20,20232024,1,5,W,2,Maple Leafs,TOR,0,0.584615,38,Toronto Maple Leafs,84
,64,47,0.734375,182,229,3.578125,31,39,85,124,8,2,44,20,18,21,10,13,22,35,2,1,15,7,5,7,21,3,Edmonton,0.648438,0.59375,38,0.5,32,33,8,97,105,13,1,39,18,14,19,20232024,1,2,W,2,Oilers,EDM,0,0.625,40,Edmonton Oilers,83
,67,12,0.179104,203,215,3.208955,34,0,106,106,15,1,37,18,14,18,10,19,20,39,0,2,18,8,8,8,25,4,Nashville,0.597015,0.537313,36,0.462687,31,33,12,97,109,10,3,43,18,17,20,20232024,0,2,W,1,Predators,NSH,1,0.567164,38,Nashville Predators,80
,66,29,0.439394,174,203,3.075758,32,8,85,93,11,7,35,13,12,14,10,7,22,29,4,1,11,5,4,5,21,11,Los Angeles,0.598485,0.484848,32,0.439394,29,34,21,89,110,10,4,44,19,17,20,20232024,5,2,W,1,Kings,LAK,0,0.515152,34,Los Angeles Kings,79
