season,champion,runner_up,series_length
1979–80,NY Islanders,Philadelphia Flyers,6
1980–81,NY Islanders,Minnesota North Stars,5
1981–82,NY Islanders,Vancouver Canucks,4
1982–83,NY Islanders,Edmonton Oilers,4
1983–84,Edmonton Oilers,NY Islanders,5
1984–85,Edmonton Oilers,Philadelphia Flyers,5
1985–86,Montreal Canadiens,Calgary Flames,5
1986–87,Edmonton Oilers,Philadelphia Flyers,7
1987–88,Edmonton Oilers,Boston Bruins,4
1988–89,Calgary Flames,Montreal Canadiens,6
1989–90,Edmonton Oilers,Boston Bruins,5
1990–91,Pittsburgh Penguins,Minnesota North Stars,6
1991–92,Pittsburgh Penguins,Chicago Blackhawks,4
1992–93,Montreal Canadiens,Los Angeles Kings,5
1993–94,NY Rangers,Vancouver Canucks,7
1994–95,New Jersey Devils,Detroit Red Wings,4
1995–96,Colorado Avalanche,Florida Panthers,4
1996–97,Detroit Red Wings,Philadelphia Flyers,4
1997–98,Detroit Red Wings,Washington Capitals,4
1998–99,Dallas Stars,Buffalo Sabres,6
1999–2000,New Jersey Devils,Dallas Stars,6
2000–01,Colorado Avalanche,New Jersey Devils,7
2001–02,Detroit Red Wings,Carolina Hurricanes,5
2002–03,New Jersey Devils,Anaheim Mighty Ducks,7
2003–04,Tampa Bay Lightning,Calgary Flames,7
2005–06,Carolina Hurricanes,Edmonton Oilers,7
2006–07,Anaheim Ducks,Ottawa Senators,5
2007–08,Detroit Red Wings,Pittsburgh Penguins,6
2008–09,Pittsburgh Penguins,Detroit Red Wings,7
2009–10,Chicago Blackhawks,Philadelphia Flyers,6
2010–11,Boston Bruins,Vancouver Canucks,7
2011–12,Los Angeles Kings,New Jersey Devils,6
2012–13,Chicago Blackhawks,Boston Bruins,6
2013–14,Los Angeles Kings,NY Rangers,5
2014–15,Chicago Blackhawks,Tampa Bay Lightning,6
2015–16,Pittsburgh Penguins,San Jose Sharks,6
2016–17,Pittsburgh Penguins,Nashville Predators,6
2017–18,Washington Capitals,Vegas Golden Knights,5
2018–19,St. Louis Blues,Boston Bruins,7
2019–20,Tampa Bay Lightning,Dallas Stars,6
2020–21,Tampa Bay Lightning,Montreal Canadiens,5
2021–22,Colorado Avalanche,Tampa Bay Lightning,6
2022–23,Vegas Golden Knights,Florida Panthers,5
